SKU,Product Name,Slug,Category,Subcategory,Brand,MRP,Sale Price,Stock,Description,Specification,Image
MB-SAM-GA14-5G,Samsung Galaxy A14 5G,samsung-galaxy-a14-5g,Electronics,Mobiles,Samsung,18999,14999,50,"Affordable 5G smartphone with large display","6.6-inch LCD|Exynos 1330|4GB RAM|128GB Storage|50MP Camera|5000mAh Battery","https://example.com/images/samsung-galaxy-a14.jpg"
MB-SAM-GA54-5G,Samsung Galaxy A54 5G,samsung-galaxy-a54-5g,Electronics,Mobiles,Samsung,40999,35999,30,"Premium mid-range Samsung 5G smartphone","6.4-inch AMOLED|Exynos 1380|8GB RAM|128GB Storage|50MP OIS Camera|5000mAh Battery","https://example.com/images/samsung-galaxy-a54.jpg"
MB-APL-IP13,Apple iPhone 13,apple-iphone-13,Electronics,Mobiles,Apple,69900,58999,25,"Apple iPhone with powerful A15 Bionic chip","6.1-inch OLED|A15 Bionic|4GB RAM|128GB Storage|12MP Dual Camera|3240mAh Battery","https://example.com/images/iphone-13.jpg"
MB-APL-IP14,Apple iPhone 14,apple-iphone-14,Electronics,Mobiles,Apple,79900,67999,20,"Latest generation iPhone with improved safety features","6.1-inch OLED|A15 Bionic|6GB RAM|128GB Storage|12MP Dual Camera|3279mAh Battery","https://example.com/images/iphone-14.jpg"
MB-RED-N12,Redmi Note 12 5G,redmi-note-12-5g,Electronics,Mobiles,Xiaomi,21999,17999,60,"Value-for-money 5G smartphone from Redmi","6.67-inch AMOLED|Snapdragon 4 Gen 1|6GB RAM|128GB Storage|48MP Camera|5000mAh Battery","https://example.com/images/redmi-note-12.jpg"
MB-RED-N13P,Redmi Note 13 Pro,redmi-note-13-pro,Electronics,Mobiles,Xiaomi,28999,24999,40,"High-performance Redmi phone with pro camera","6.67-inch AMOLED|Snapdragon 7s Gen 2|8GB RAM|256GB Storage|200MP Camera|5100mAh Battery","https://example.com/images/redmi-note-13-pro.jpg"
MB-ONE-NORD-CE3,OnePlus Nord CE 3 5G,oneplus-nord-ce-3-5g,Electronics,Mobiles,OnePlus,26999,23999,35,"Clean OxygenOS experience with fast charging","6.7-inch AMOLED|Snapdragon 782G|8GB RAM|128GB Storage|50MP Camera|5000mAh Battery","https://example.com/images/oneplus-nord-ce3.jpg"
MB-ONE-11R,OnePlus 11R 5G,oneplus-11r-5g,Electronics,Mobiles,OnePlus,44999,39999,15,"Flagship-level performance at mid-range price","6.74-inch AMOLED|Snapdragon 8+ Gen 1|8GB RAM|256GB Storage|50MP Camera|5000mAh Battery","https://example.com/images/oneplus-11r.jpg"
MB-REAL-11P,Realme 11 Pro 5G,realme-11-pro-5g,Electronics,Mobiles,Realme,25999,21999,45,"Stylish smartphone with curved display","6.7-inch AMOLED|Dimensity 7050|8GB RAM|128GB Storage|100MP Camera|5000mAh Battery","https://example.com/images/realme-11-pro.jpg"
MB-OPPO-RF10,Oppo Reno 10 5G,oppo-reno-10-5g,Electronics,Mobiles,Oppo,32999,28999,28,"Premium design smartphone with portrait camera","6.7-inch AMOLED|Dimensity 7050|8GB RAM|256GB Storage|64MP Camera|5000mAh Battery","https://example.com/images/oppo-reno-10.jpg"